actor_1_facebook_likes,actor_1_name,actor_2_facebook_likes,actor_2_name,actor_3_facebook_likes,actor_3_name,aspect_ratio,budget,cast_total_facebook_likes,color,content_rating,country,director_facebook_likes,director_name,facenumber_in_poster,genres,gross,imdb_score,language,movie_facebook_likes,movie_title,num_critic_for_reviews,num_user_for_reviews,num_voted_users,overview,plot_keywords,popularity,production_companies,runtime,title_year,return_rate,if_profit,total_fb_likes
451,Giancarlo Giannini,412,Mathieu Amalric,393,Rory Kinnear,2.35,200,2023,Color,PG-13,UK,395,Marc Forster,1,Action,168.368427,6.7,English,0,Quantum of Solace,403,1243,330784,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",action hero|attempted rape|bond girl|official james bond series|revenge,107.928811,"[{""name"": ""Eon Productions"", ""id"": 7576}]",106,2008,-0.15815786500000006,0,3674
40000,Johnny Depp,5000,Orlando Bloom,1000,Jack Davenport,2.35,225,48486,Color,PG-13,USA,563,Gore Verbinski,2,Action,423.032628,7.3,English,5000,Pirates of the Caribbean: Dead Man's Chest,313,1832,522040,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",box office hit|giant squid|heart|liar's dice|monster,145.847379,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",151,2006,0.8801450133333333,1,100049
40000,Johnny Depp,2000,Ruth Wilson,1000,Tom Wilkinson,2.35,215,45757,Color,PG-13,USA,563,Gore Verbinski,1,Action,89.28991,6.5,English,48000,The Lone Ranger,450,711,181792,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",horse|outlaw|texas|texas ranger|train,49.046956,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]",149,2013,-0.5846980930232557,0,137320
15000,Henry Cavill,3000,Christopher Meloni,748,Harry Lennix,2.35,225,20495,Color,PG-13,USA,0,Zack Snyder,0,Action,291.021565,7.2,English,118000,Man of Steel,733,2536,548573,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",based on comic book|british actor playing american character|final battle|origin of hero|reboot,99.398009,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]",143,2013,0.29342917777777777,1,157243
22000,Peter Dinklage,216,Pierfrancesco Favino,201,Damián Alcázar,2.35,225,22697,Color,PG,USA,80,Andrew Adamson,4,Action,141.614023,6.6,English,0,The Chronicles of Narnia: Prince Caspian,258,438,149922,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",brother brother relationship|brother sister relationship|good versus evil|king|narnia,53.978602,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Ozumi Films"", ""id"": 11440}, {""name"": ""Propeler"", ""id"": 11441}, {""name"": ""Silverbell Films"", ""id"": 11442}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",150,2008,-0.37060434222222216,0,45194
26000,Chris Hemsworth,21000,Robert Downey Jr.,19000,Scarlett Johansson,1.85,220,87697,Color,PG-13,USA,0,Joss Whedon,3,Action,623.279547,8.1,English,123000,The Avengers,703,1722,995415,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",alien invasion|assassin|battle|iron man|soldier,144.448633,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]",143,2012,1.8330888499999998,1,276697
40000,Johnny Depp,11000,Sam Claflin,1000,Stephen Graham,2.35,250,54083,Color,PG-13,USA,252,Rob Marshall,4,Action,241.063875,6.7,English,58000,Pirates of the Caribbean: On Stranger Tides,448,484,370704,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",blackbeard|captain|pirate|revenge|soldier,135.413856,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]",136,2011,-0.03574450000000007,0,164335
10000,Will Smith,816,Michael Stuhlbarg,718,Nicole Scherzinger,1.85,225,12572,Color,PG-13,USA,188,Barry Sonnenfeld,1,Action,179.020854,6.8,English,40000,Men in Black 3,451,341,268154,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",alien|criminal|m.i.b.|maximum security prison|prison,52.035179,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]",106,2012,-0.20435175999999988,0,64294
5000,Aidan Turner,972,Adam Brown,773,James Nesbitt,2.35,250,9152,Color,PG-13,New Zealand,0,Peter Jackson,0,Adventure,255.10837,7.5,English,65000,The Hobbit: The Battle of the Five Armies,422,802,354228,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",army|elf|hobbit|middle earth|orc,120.965743,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",144,2014,0.020433480000000115,1,80897
15000,Emma Stone,10000,Andrew Garfield,963,Chris Zylka,2.35,230,28489,Color,PG-13,USA,464,Marc Webb,0,Action,262.030663,7,English,56000,The Amazing Spider-Man,599,1225,451803,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",lizard|outcast|spider|spider man|teenager,89.866276,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]",136,2012,0.13926375217391307,1,110916
891,Mark Addy,882,William Hurt,738,Scott Grimes,2.35,200,3244,Color,PG-13,USA,0,Ridley Scott,0,Action,105.219735,6.7,English,17000,Robin Hood,343,546,211765,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",1190s|archer|england|king of england|robin hood,37.668301,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]",140,2010,-0.47390132500000004,0,22755
5000,Aidan Turner,972,Adam Brown,773,James Nesbitt,2.35,225,9152,Color,PG-13,USA,0,Peter Jackson,6,Adventure,258.355354,7.9,English,83000,The Hobbit: The Desolation of Smaug,509,951,483540,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",dwarf|elf|lake town|mountain|sword and sorcery,94.370564,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",161,2013,0.14824601777777757,1,98897
16000,Christopher Lee,6000,Eva Green,1000,Kristin Scott Thomas,2.35,180,24106,Color,PG-13,USA,129,Chris Weitz,2,Adventure,70.083519,6.1,English,0,The Golden Compass,251,666,149019,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",children|epic|friend|girl|quest,42.990906,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""Scholastic Productions"", ""id"": 1938}]",113,2007,-0.6106471166666667,0,47235
6000,Naomi Watts,919,Thomas Kretschmann,84,Evan Parke,2.35,207,7123,Color,PG-13,New Zealand,0,Peter Jackson,0,Action,218.05126,7.2,English,0,King Kong,446,2618,316018,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",animal name in title|ape abducts a woman|gorilla|island|king kong,61.22601,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Big Primate Pictures"", ""id"": 68}, {""name"": ""MFPV Film"", ""id"": 69}]",187,2005,0.053387729468599154,1,14126
29000,Leonardo DiCaprio,14000,Kate Winslet,794,Gloria Stuart,2.35,200,45223,Color,PG-13,USA,0,James Cameron,0,Drama,658.672302,7.7,English,26000,Titanic,315,2528,793059,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",artist|love|ship|titanic|wet,100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",194,1997,2.2933615099999995,1,115017
21000,Robert Downey Jr.,19000,Scarlett Johansson,11000,Chris Evans,2.35,250,64798,Color,PG-13,USA,94,Anthony Russo,0,Action,407.197282,8.2,English,72000,Captain America: Civil War,516,1022,272670,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,198.372395,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]",147,2016,0.628789128,1,187892
14000,Liam Neeson,10000,Alexander Skarsgård,627,Tadanobu Asano,2.35,209,26679,Color,PG-13,USA,532,Peter Berg,0,Action,65.17316,5.9,English,44000,Battleship,377,751,202382,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",box office flop|hawaii|naval|oahu hawaii|ship,64.928382,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Film 44"", ""id"": 20153}]",131,2012,-0.6881666985645933,0,95838
3000,Bryce Dallas Howard,2000,Judy Greer,1000,Omar Sy,2,150,8458,Color,PG-13,USA,365,Colin Trevorrow,0,Action,652.177271,7,English,150000,Jurassic World,644,1290,418214,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]",124,2015,3.3478484733333334,1,164823
883,Albert Finney,563,Helen McCrory,393,Rory Kinnear,2.35,200,2039,Color,PG-13,UK,0,Sam Mendes,0,Action,304.360277,7.8,English,80000,Skyfall,750,1498,522030,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",brawl|childhood home|computer cracker|intelligence agency|terrorist cell,93.004993,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",143,2012,0.5218013850000001,1,83878
24000,J.K. Simmons,11000,James Franco,4000,Kirsten Dunst,2.35,200,43388,Color,PG-13,USA,0,Sam Raimi,1,Action,373.377893,7.3,English,0,Spider-Man 2,300,1303,411164,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",death|doctor|scientist|super villain|tentacle,35.149586,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",127,2004,0.8668894649999999,1,82388
21000,Robert Downey Jr.,4000,Jon Favreau,3000,Don Cheadle,2.35,200,30426,Color,PG-13,USA,1000,Shane Black,3,Action,408.992272,7.2,English,95000,Iron Man 3,608,1187,557489,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",armor|explosion|human bomb|missile attack|terrorist,77.68208,"[{""name"": ""Marvel Studios"", ""id"": 420}]",130,2013,1.0449613600000003,1,154426
40000,Johnny Depp,25000,Alan Rickman,11000,Anne Hathaway,1.85,200,79957,Color,PG,USA,13000,Tim Burton,0,Adventure,334.185206,6.5,English,24000,Alice in Wonderland,451,736,306320,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,78.530105,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Roth Films"", ""id"": 16314}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]",108,2010,0.67092603,1,192957
20000,Hugh Jackman,808,Kelsey Grammer,560,Daniel Cudmore,2.35,210,21714,Color,PG-13,Canada,420,Brett Ratner,0,Action,234.360014,6.8,English,0,X-Men: The Last Stand,334,1912,383427,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",battle|mutant|outrage|walking through a wall|x men,3.857526,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Major Studio Partners"", ""id"": 445}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""thinkfilm"", ""id"": 12247}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""X3 Canada Productions"", ""id"": 79028}, {""name"": ""X3US Productions"", ""id"": 79029}, {""name"": ""XM3 Service"", ""id"": 79030}]",104,2006,0.11600006666666673,1,43502
12000,Steve Buscemi,779,Tyler Labine,760,Sean Hayes,1.85,200,14863,Color,G,USA,37,Dan Scanlon,0,Adventure,268.488329,7.3,English,44000,Monsters University,376,265,235025,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,cheating|fraternity|monster|singing in a car|university,89.186492,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]",104,2013,0.34244164500000007,1,72439
894,Glenn Morshower,581,Kevin Dunn,464,Ramon Rodriguez,2.35,200,3218,Color,PG-13,USA,0,Michael Bay,0,Action,402.076689,6,English,0,Transformers: Revenge of the Fallen,366,1439,323207,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",autobot|decepticon|machine|sun|symbol,21.939663,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",150,2009,1.010383445,1,5157
